Which country's aspirations for freedom were expressed in this song?<br>(A popular remix of this song also gained popularity during the FIFA World Cup 2010 as a promotional anthem) (Options: Option A} Haiti Option B} Canada Option C} Somalia Option D} South Africa  Correct: Somalia)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"This song was originally written to reflect the singer K'naan's experiences growing up in Somalia amidst the civil war and was intended to convey a message of hope and resilience for the people of Somalia. <br>Later, a remixed version of the song produced by the Canadian band, Young Artists for Haiti, gained global fame during the 2010 FIFA World Cup.","mediaEmbedded":"video","mediaLink":"https://youtu.be/awbmTxD7sMM?si=QiI-1tcWMAtVV7oD","startTime":4,"endTime":51,"card":100}

The famous statue shown in the image is _____________.JSONParams:{"qType":"Fill up","weightage":1,"ansExplanation":"Statue of Liberty","mediaEmbedded":"image","mediaLink":"https://images.pexels.com/photos/60003/statue-of-liberty-new-york-ny-nyc-60003.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2","startTime":0,"endTime":0,"card":10}
Which ancient Indian city was the capital of the Gupta Empire? (Options: Option A} Pataliputra Option B} Ayodhya Option C} Varanasi Option D} Ujjain  Correct: Pataliputra)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":50}

Which Indian instrument is known for its soothing sound? (Options: Option A} Sitar Option B} Tabla Option C} Tanpura Option D} Flute  Correct: Tanpura)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":75}

What is the name of India's first completely homegrown COVID-19 vaccine? (Options: Option A} Covishield Option B} Covaxin Option C} Sputnik V Option D} Moderna  Correct: Covaxin)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Which city hosted the 2020 IPL Final? (Options: Option A} Mumbai Option B} Delhi Option C} Dubai Option D} Ahmedabad  Correct: Dubai)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"The 2020 IPL was held in UAE due to COVID-19 pandemic. The final match of the tournament was played in Dubai.","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":50}

Who is the current Governor of the Reserve Bank of India (RBI)? (Options: Option A} Shaktikanta Das Option B} Urjit Patel Option C} Raghuram Rajan Option D} Viral Acharya  Correct: Shaktikanta Das)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"none","mediaLink":"","startTime":0,"endTime":0,"card":25}

Which movie is this song associated with? (Options: Option A} Stanley Ka Dibba Option B} Koi Mil Gaya Option C} I am Kalam Option D} Taare Zameen Par  Correct: Taare Zameen Par)JSONParams:{"qType":"MCQ","weightage":1,"ansExplanation":"","mediaEmbedded":"audio","mediaLink":"https://youtu.be/kaMB6Rw8XzA?si=DJkpzMRsLDtLCXeD","startTime":92,"endTime":177,"card":10}
